NinjaScript File,Error,Code,Line,Column,
TraderExecutor.cs,The namespace 'NinjaTrader.NinjaScript.Strategies' already contains a definition for 'RLExecutor',CS0101,24,18,
TraderExecutor.cs,Type 'RLExecutor' already defines a member called 'OnStateChange' with the same parameter types,CS0111,518,33,
TraderExecutor.cs,Type 'RLExecutor' already defines a member called 'OnBarUpdate' with the same parameter types,CS0111,598,33,
TraderExecutor.cs,Type 'RLExecutor' already defines a member called 'ProcessDataMessage' with the same parameter types,CS0111,605,22,
TraderExecutor.cs,Type 'RLExecutor' already defines a member called 'ProcessOrderMessage' with the same parameter types,CS0111,640,22,
TraderExecutor.cs,Type 'RLExecutor' already defines a member called 'ProcessTradingSignal' with the same parameter types,CS0111,665,22,
TraderExecutor.cs,Type 'RLExecutor' already defines a member called 'ExecuteTradingDecision' with the same parameter types,CS0111,744,22,
TraderExecutor.cs,Type 'RLExecutor' already defines a member called 'ExecuteManagedOrders' with the same parameter types,CS0111,791,22,
TraderExecutor.cs,Type 'RLExecutor' already defines a member called 'ExecuteUnmanagedOrders' with the same parameter types,CS0111,903,22,
TraderExecutor.cs,Type 'RLExecutor' already defines a member called 'CancelOrder' with the same parameter types,CS0111,1028,22,
TraderExecutor.cs,Type 'RLExecutor' already defines a member called 'OnExecutionUpdate' with the same parameter types,CS0111,1048,33,
TraderExecutor.cs,Type 'RLExecutor' already defines a member called 'OnOrderUpdate' with the same parameter types,CS0111,1109,33,
TraderExecutor.cs,Type 'RLExecutor.TcpServerManager' already defines a member called 'TcpServerManager' with the same parameter types,CS0111,63,20,
TraderExecutor.cs,Type 'RLExecutor.TcpServerManager' already defines a member called 'Start' with the same parameter types,CS0111,78,25,
TraderExecutor.cs,Type 'RLExecutor.TcpServerManager' already defines a member called 'Stop' with the same parameter types,CS0111,126,25,
TraderExecutor.cs,Type 'RLExecutor.TcpServerManager' already defines a member called 'SendMessage' with the same parameter types,CS0111,218,25,
TraderExecutor.cs,Type 'RLExecutor.TcpServerManager' already defines a member called 'ServerLoop' with the same parameter types,CS0111,288,26,
DataExtractorcs.cs,The type or namespace name 'BollingerBands' could not be found (are you missing a using directive or an assembly reference?),CS0246,91,17,
RLExecutor.cs,Ambiguity between 'RLExecutor.ServerIP' and 'RLExecutor.ServerIP',CS0229,513,17,
RLExecutor.cs,Ambiguity between 'RLExecutor.DataPort' and 'RLExecutor.DataPort',CS0229,514,17,
